('01:19:43', 100.0, 8.48, snetio(bytes_sent=10277777112, bytes_recv=2434277139, packets_sent=17047702, packets_recv=18939957, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058221056, free=27960639488, percent=9.9), sdiskio(read_count=69333, write_count=1020207, read_bytes=1066131968, write_bytes=21117067776, read_time=76752, write_time=3754240, read_merged_count=0, write_merged_count=1051297, busy_time=422040))
('01:19:46', 0.0, 8.48, snetio(bytes_sent=10277777978, bytes_recv=2434277499, packets_sent=17047705, packets_recv=18939963, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058221056, free=27960639488, percent=9.9), sdiskio(read_count=69333, write_count=1020209, read_bytes=1066131968, write_bytes=21117235712, read_time=76752, write_time=3754244, read_merged_count=0, write_merged_count=1051336, busy_time=422040))
('01:19:49', 100.0, 8.48, snetio(bytes_sent=10277778726, bytes_recv=2434278383, packets_sent=17047707, packets_recv=18939969, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058221056, free=27960639488, percent=9.9), sdiskio(read_count=69333, write_count=1020209, read_bytes=1066131968, write_bytes=21117235712, read_time=76752, write_time=3754244, read_merged_count=0, write_merged_count=1051336, busy_time=422040))
('01:19:52', 100.0, 8.48, snetio(bytes_sent=10277780158, bytes_recv=2434280319, packets_sent=17047711, packets_recv=18939983, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058221056, free=27960639488, percent=9.9), sdiskio(read_count=69333, write_count=1020211, read_bytes=1066131968, write_bytes=21117248000, read_time=76752, write_time=3754244, read_merged_count=0, write_merged_count=1051337, busy_time=422040))
('01:19:55', 100.0, 8.48, snetio(bytes_sent=10277780906, bytes_recv=2434281033, packets_sent=17047713, packets_recv=18939995, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020211, read_bytes=1066131968, write_bytes=21117248000, read_time=76752, write_time=3754244, read_merged_count=0, write_merged_count=1051337, busy_time=422040))
('01:19:58', 100.0, 8.48, snetio(bytes_sent=10277781654, bytes_recv=2434281447, packets_sent=17047715, packets_recv=18940002, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020213, read_bytes=1066131968, write_bytes=21117260288, read_time=76752, write_time=3754244, read_merged_count=0, write_merged_count=1051338, busy_time=422040))
('01:20:01', 100.0, 8.48, snetio(bytes_sent=10277782524, bytes_recv=2434281797, packets_sent=17047719, packets_recv=18940007, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020213, read_bytes=1066131968, write_bytes=21117260288, read_time=76752, write_time=3754244, read_merged_count=0, write_merged_count=1051338, busy_time=422040))
('01:20:04', 100.0, 8.48, snetio(bytes_sent=10277783272, bytes_recv=2434282151, packets_sent=17047721, packets_recv=18940013, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020215, read_bytes=1066131968, write_bytes=21117272576, read_time=76752, write_time=3754248, read_merged_count=0, write_merged_count=1051339, busy_time=422040))
('01:20:07', 100.0, 8.48, snetio(bytes_sent=10277784062, bytes_recv=2434282985, packets_sent=17047724, packets_recv=18940027, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020217, read_bytes=1066131968, write_bytes=21117280768, read_time=76752, write_time=3754248, read_merged_count=0, write_merged_count=1051339, busy_time=422040))
('01:20:10', 100.0, 8.48, snetio(bytes_sent=10277784970, bytes_recv=2434284219, packets_sent=17047729, packets_recv=18940048, errin=0, errout=0, dropin=0, dropout=0), sdiskusage(total=31035637760, used=3058225152, free=27960635392, percent=9.9), sdiskio(read_count=69333, write_count=1020244, read_bytes=1066131968, write_bytes=21117489664, read_time=76752, write_time=3754368, read_merged_count=0, write_merged_count=1051360, busy_time=422060))
