6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODQxNjU0MjI1MXx0aXxsb3Jh};02.12.2021 - 03:42:22 AM;2;303
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODQxNjU0MjgxOXx0aXxsb3Jh};02.12.2021 - 03:42:23 AM;2;303
4;200;t|19.11|ti|UL|ts|1638416543934;02.12.2021 - 03:42:23 AM;2;30
2;200;<!DOCTYPE html><div id=temperature>19.92</div><div id=ti>HTML</div><div id=ts>1638416544376</div>;02.12.2021 - 03:42:24 AM;3;97
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=19.92 /><ti value = XML /><ts value = 1638416544541 /> </measure>;02.12.2021 - 03:42:24 AM;9;127
2;200;<!DOCTYPE html><div id=temperature>19.92</div><div id=ti>HTML</div><div id=ts>1638416544701</div>;02.12.2021 - 03:42:24 AM;3;97
7;200;t|19.11|ti|TEROS12|ts|1638416544863;02.12.2021 - 03:42:24 AM;2;35
3;200;{t:19.39,ti:JSON,ts:1638416545022};02.12.2021 - 03:42:25 AM;2;34
2;200;<!DOCTYPE html><div id=temperature>19.92</div><div id=ti>HTML</div><div id=ts>1638416545206</div>;02.12.2021 - 03:42:25 AM;4;97
4;200;t|19.11|ti|UL|ts|1638416545370;02.12.2021 - 03:42:25 AM;2;30
5;200;{applicationID:5,applicationName:mestrado_simulacao,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYyNjk3OTc0OTgwNA==};02.12.2021 - 03:42:25 AM;2;278
7;200;t|19.11|ti|TEROS12|ts|1638416545704;02.12.2021 - 03:42:25 AM;1;35
3;200;{t:19.39,ti:JSON,ts:1638416545870};02.12.2021 - 03:42:25 AM;2;34
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=19.92 /><ti value = XML /><ts value = 1638416546053 /> </measure>;02.12.2021 - 03:42:26 AM;7;127
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODQxNjU0NTg4Mnx0aXxsb3Jh};02.12.2021 - 03:42:26 AM;1;303
3;200;{t:19.39,ti:JSON,ts:1638416546207};02.12.2021 - 03:42:26 AM;2;34
3;200;{t:19.39,ti:JSON,ts:1638416546480};02.12.2021 - 03:42:26 AM;5;34
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=19.92 /><ti value = XML /><ts value = 1638416546643 /> </measure>;02.12.2021 - 03:42:26 AM;6;127
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODQxNjU0NjUyOXx0aXxsb3Jh};02.12.2021 - 03:42:26 AM;2;303
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=19.92 /><ti value = XML /><ts value = 1638416546850 /> </measure>;02.12.2021 - 03:42:26 AM;3;127
7;200;t|19.11|ti|TEROS12|ts|1638416546992;02.12.2021 - 03:42:27 AM;1;35
3;200;{t:19.39,ti:JSON,ts:1638416547261};02.12.2021 - 03:42:27 AM;2;34
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=19.92 /><ti value = XML /><ts value = 1638416547446 /> </measure>;02.12.2021 - 03:42:27 AM;9;127
1;200;<measure device=dht22 key=4jggokgpepnvsb2uv4s40d59ov><t value=19.92 /><ti value = XML /><ts value = 1638416547693 /> </measure>;02.12.2021 - 03:42:27 AM;14;127
6;200;{applicationID:5,applicationName:mestrado_simulacao,deviceName:DHT11,devEUI:221597e4529df57d,rxInfo:[{gatewayID:000000ffff001000,name:ExpGW,rssi:-57,loRaSNR:7,location:{latitude:0,longitude:0,altitude:0}}],txInfo:{frequency:915000000,dr:5},adr:false,fCnt:0,fPort:1,data:dHN8MTYzODQxNjU0NzUyMXx0aXxsb3Jh};02.12.2021 - 03:42:27 AM;1;303
