03:41:52;100;9,08; snetio(bytes_sent=11064627842; bytes_recv=2505052946; packets_sent=18646775; packets_recv=19746072; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087457; read_bytes=1365299200; write_bytes=22572859904; read_time=102548; write_time=3908964; read_merged_count=3; write_merged_count=1224638; busy_time=437352))
03:41:55;100;9,08; snetio(bytes_sent=11064629274; bytes_recv=2505053582; packets_sent=18646779; packets_recv=19746082; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087483; read_bytes=1365299200; write_bytes=22583382528; read_time=102548; write_time=3909228; read_merged_count=3; write_merged_count=1224677; busy_time=437420))
03:41:58;100;9,03; snetio(bytes_sent=11064630022; bytes_recv=2505054296; packets_sent=18646781; packets_recv=19746094; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087483; read_bytes=1365299200; write_bytes=22583382528; read_time=102548; write_time=3909228; read_merged_count=3; write_merged_count=1224677; busy_time=437420))
03:42:01;100;9,03; snetio(bytes_sent=11064630838; bytes_recv=2505055024; packets_sent=18646784; packets_recv=19746106; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809581568; free=28209278976; percent=9,1); sdiskio(read_count=97721; write_count=1087485; read_bytes=1365299200; write_bytes=22583423488; read_time=102548; write_time=3909236; read_merged_count=3; write_merged_count=1224685; busy_time=437420))
03:42:04;0;9,03; snetio(bytes_sent=11064631704; bytes_recv=2505055564; packets_sent=18646787; packets_recv=19746115; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809585664; free=28209274880; percent=9,1); sdiskio(read_count=97721; write_count=1087485; read_bytes=1365299200; write_bytes=22583423488; read_time=102548; write_time=3909236; read_merged_count=3; write_merged_count=1224685; busy_time=437420))
03:42:07;100;9,03; snetio(bytes_sent=11064631876; bytes_recv=2505056440; packets_sent=18646789; packets_recv=19746129; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809585664; free=28209274880; percent=9,1); sdiskio(read_count=97721; write_count=1087487; read_bytes=1365299200; write_bytes=22583435776; read_time=102548; write_time=3909236; read_merged_count=3; write_merged_count=1224686; busy_time=437420))
03:42:10;100;9,08; snetio(bytes_sent=11064633254; bytes_recv=2505056794; packets_sent=18646792; packets_recv=19746135; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809585664; free=28209274880; percent=9,1); sdiskio(read_count=97721; write_count=1087487; read_bytes=1365299200; write_bytes=22583435776; read_time=102548; write_time=3909236; read_merged_count=3; write_merged_count=1224686; busy_time=437420))
03:42:13;100;9,08; snetio(bytes_sent=11064633372; bytes_recv=2505057738; packets_sent=18646793; packets_recv=19746142; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809585664; free=28209274880; percent=9,1); sdiskio(read_count=97721; write_count=1087489; read_bytes=1365299200; write_bytes=22583448064; read_time=102548; write_time=3909236; read_merged_count=3; write_merged_count=1224687; busy_time=437420))
03:42:16;100;9,98; snetio(bytes_sent=11064640544; bytes_recv=2505060138; packets_sent=18646812; packets_recv=19746155; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809589760; free=28209270784; percent=9,1); sdiskio(read_count=97721; write_count=1087530; read_bytes=1365299200; write_bytes=22583628288; read_time=102548; write_time=3909336; read_merged_count=3; write_merged_count=1224688; busy_time=437440))
03:42:19;100;10,54; snetio(bytes_sent=11065100992; bytes_recv=2505114842; packets_sent=18647930; packets_recv=19746761; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809593856; free=28209266688; percent=9,1); sdiskio(read_count=97721; write_count=1087627; read_bytes=1365299200; write_bytes=22585254400; read_time=102548; write_time=3909712; read_merged_count=3; write_merged_count=1224985; busy_time=437460))
03:42:22;100;10,64; snetio(bytes_sent=11065400924; bytes_recv=2505139757; packets_sent=18648547; packets_recv=19747058; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809597952; free=28209262592; percent=9,1); sdiskio(read_count=97721; write_count=1087666; read_bytes=1365299200; write_bytes=22586049024; read_time=102548; write_time=3909772; read_merged_count=3; write_merged_count=1225140; busy_time=437460))
03:42:25;0;10,74; snetio(bytes_sent=11065681511; bytes_recv=2505167449; packets_sent=18649313; packets_recv=19747370; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809602048; free=28209258496; percent=9,1); sdiskio(read_count=97721; write_count=1087699; read_bytes=1365299200; write_bytes=22586737152; read_time=102548; write_time=3909820; read_merged_count=3; write_merged_count=1225275; busy_time=437460))
03:42:28;100;10,94; snetio(bytes_sent=11066233772; bytes_recv=2505218604; packets_sent=18650997; packets_recv=19747962; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809614336; free=28209246208; percent=9,1); sdiskio(read_count=97721; write_count=1087765; read_bytes=1365299200; write_bytes=22588088832; read_time=102548; write_time=3909916; read_merged_count=3; write_merged_count=1225539; busy_time=437460))
03:42:31;0;11,69; snetio(bytes_sent=11066861082; bytes_recv=2505278167; packets_sent=18652454; packets_recv=19748637; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809618432; free=28209242112; percent=9,1); sdiskio(read_count=97721; write_count=1087837; read_bytes=1365299200; write_bytes=22589555200; read_time=102548; write_time=3910000; read_merged_count=3; write_merged_count=1225825; busy_time=437460))
03:42:34;100;11,89; snetio(bytes_sent=11067462773; bytes_recv=2505334134; packets_sent=18654327; packets_recv=19749315; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809622528; free=28209238016; percent=9,1); sdiskio(read_count=97721; write_count=1087903; read_bytes=1365299200; write_bytes=22590902784; read_time=102548; write_time=3910076; read_merged_count=3; write_merged_count=1226088; busy_time=437460))
03:42:37;100;12,04; snetio(bytes_sent=11068025110; bytes_recv=2505386011; packets_sent=18656299; packets_recv=19749940; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809630720; free=28209229824; percent=9,1); sdiskio(read_count=97721; write_count=1087966; read_bytes=1365299200; write_bytes=22592201216; read_time=102548; write_time=3910136; read_merged_count=3; write_merged_count=1226342; busy_time=437460))
03:42:40;100;12,19; snetio(bytes_sent=11068533787; bytes_recv=2505431689; packets_sent=18658192; packets_recv=19750474; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809638912; free=28209221632; percent=9,1); sdiskio(read_count=97721; write_count=1088023; read_bytes=1365299200; write_bytes=22593360384; read_time=102548; write_time=3910200; read_merged_count=3; write_merged_count=1226568; busy_time=437460))
03:42:43;0;12,39; snetio(bytes_sent=11069146700; bytes_recv=2505486957; packets_sent=18660409; packets_recv=19751106; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809643008; free=28209217536; percent=9,1); sdiskio(read_count=97721; write_count=1088095; read_bytes=1365299200; write_bytes=22594826752; read_time=102548; write_time=3910296; read_merged_count=3; write_merged_count=1226854; busy_time=437460))
03:42:46;100;12,54; snetio(bytes_sent=11069713240; bytes_recv=2505538720; packets_sent=18662841; packets_recv=19751735; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809647104; free=28209213440; percent=9,1); sdiskio(read_count=97721; write_count=1088158; read_bytes=1365299200; write_bytes=22596112896; read_time=102548; write_time=3910356; read_merged_count=3; write_merged_count=1227105; busy_time=437460))
03:42:49;100;12,69; snetio(bytes_sent=11070203098; bytes_recv=2505581269; packets_sent=18665180; packets_recv=19752255; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809655296; free=28209205248; percent=9,1); sdiskio(read_count=97721; write_count=1088209; read_bytes=1365299200; write_bytes=22597161472; read_time=102548; write_time=3910448; read_merged_count=3; write_merged_count=1227310; busy_time=437460))
03:42:52;0;12,9; snetio(bytes_sent=11070805721; bytes_recv=2505633538; packets_sent=18668176; packets_recv=19752869; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809659392; free=28209201152; percent=9,1); sdiskio(read_count=97721; write_count=1088292; read_bytes=1365299200; write_bytes=22598701568; read_time=102548; write_time=3910660; read_merged_count=3; write_merged_count=1227586; busy_time=437472))
03:42:55;100;13,05; snetio(bytes_sent=11071378602; bytes_recv=2505687143; packets_sent=18671063; packets_recv=19753536; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809667584; free=28209192960; percent=9,1); sdiskio(read_count=97721; write_count=1088358; read_bytes=1365299200; write_bytes=22600053248; read_time=102548; write_time=3910728; read_merged_count=3; write_merged_count=1227850; busy_time=437472))
03:42:58;0;13,2; snetio(bytes_sent=11071970042; bytes_recv=2505741427; packets_sent=18673937; packets_recv=19754180; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809675776; free=28209184768; percent=9,1); sdiskio(read_count=97721; write_count=1088427; read_bytes=1365299200; write_bytes=22601458176; read_time=102548; write_time=3910812; read_merged_count=3; write_merged_count=1228124; busy_time=437472))
03:43:01;0;13,5; snetio(bytes_sent=11072513262; bytes_recv=2505797761; packets_sent=18676576; packets_recv=19754899; errin=0; errout=0; dropin=0; dropout=0); sdiskusage(total=31035637760; used=2809679872; free=28209180672; percent=9,1); sdiskio(read_count=97721; write_count=1088510; read_bytes=1365299200; write_bytes=22602658304; read_time=102548; write_time=3911172; read_merged_count=3; write_merged_count=1228332; busy_time=437492))
